area,isector,account_entry,transaction,instr_asset,ref_date,period,value,unit,unit_mult,prices,ref_year_price,activity,consolidation,note
"CZ","S1","C","P1","_Z","_Z","2013","397877","CZK","6","L","2015","D","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2014","360782","CZK","6","L","2015","D","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2015","376985","CZK","6","L","2015","D","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2016","382985","CZK","6","L","2015","D","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2017","390892","CZK","6","L","2015","D","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2018","388665","CZK","6","L","2015","D","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2019","369542","CZK","6","L","2015","D","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2020","297425","CZK","6","L","2015","D","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2021","317097","CZK","6","L","2015","D","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1991","71029","CZK","6","L","2015","E","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1992","84461","CZK","6","L","2015","E","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1993","92136","CZK","6","L","2015","E","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1994","87580","CZK","6","L","2015","E","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1995","81519","CZK","6","L","2015","E","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1996","95474","CZK","6","L","2015","E","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1997","97603","CZK","6","L","2015","E","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1998","100587","CZK","6","L","2015","E","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1999","101541","CZK","6","L","2015","E","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2000","101681","CZK","6","L","2015","E","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2001","99637","CZK","6","L","2015","E","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2002","106739","CZK","6","L","2015","E","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2003","106398","CZK","6","L","2015","E","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2004","113625","CZK","6","L","2015","E","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2005","112585","CZK","6","L","2015","E","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2006","123332","CZK","6","L","2015","E","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2007","127402","CZK","6","L","2015","E","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2008","131705","CZK","6","L","2015","E","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2009","127926","CZK","6","L","2015","E","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2010","125455","CZK","6","L","2015","E","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2011","131586","CZK","6","L","2015","E","N","P.1c"
